name,rel_date,genres,rating,movie_rated,run_length
The Girl with the Dragon Tattoo,2011-12-21,Crime; Drama; Mystery; ,7.8,R,2h 38min
"Three Billboards Outside Ebbing, Missouri",2017-12-01,Comedy; Crime; Drama; ,8.2,R,1h 55min
Gangs of New York,2002-12-20,Crime; Drama; ,7.5,R,2h 47min
We're the Millers,2013-08-07,Comedy; Crime; ,7.0,R,1h 50min
In Bruges,2008-02-29,Comedy; Crime; Drama; ,7.9,R,1h 47min
Training Day,2001-10-05,Crime; Drama; Thriller; ,7.7,R,2h 2min
Sicario,2015-10-02,Action; Crime; Drama; ,7.6,R,2h 1min
Wanted,2008-06-27,Action; Crime; Fantasy; ,6.7,R,1h 50min
Collateral,2004-08-06,Crime; Drama; Thriller; ,7.5,R,2h
Ocean's Twelve,2004-12-10,Crime; Thriller; ,6.5,PG-13,2h 5min
The Godfather: Part III,1990-12-25,Crime; Drama; ,7.6,R,2h 42min
John Wick: Chapter 2,2017-02-10,Action; Crime; Thriller; ,7.5,R,2h 2min
Fast Five,2011-04-29,Action; Adventure; Crime; ,7.3,PG-13,2h 10min
Face_Off,1997-06-27,Action; Crime; Sci-Fi; ,7.3,R,2h 18min
Knives Out,2019-11-27,Comedy; Crime; Drama; ,7.9,PG-13,2h 10min
The Town,2010-09-17,Crime; Drama; Thriller; ,7.5,R,2h 5min
The Fast and the Furious,2001-06-22,Action; Crime; Thriller; ,6.8,PG-13,1h 46min
22 Jump Street,2014-06-13,Action; Comedy; Crime; ,7.0,R,1h 52min
The Italian Job,2003-05-30,Action; Crime; Thriller; ,7.0,PG-13,1h 51min
The Mask,1994-07-29,Action; Comedy; Crime; ,6.9,PG-13,1h 41min
Inside Man,2006-03-24,Crime; Drama; Mystery; ,7.6,R,2h 9min
The Equalizer,2014-09-26,Action; Crime; Thriller; ,7.2,R,2h 12min
Man on Fire,2004-04-23,Action; Crime; Drama; ,7.7,R,2h 26min
Ocean's Thirteen,2007-06-08,Action; Crime; Thriller; ,6.9,PG-13,2h 2min
Pineapple Express,2008-08-06,Action; Comedy; Crime; ,6.9,R,1h 51min
Jackie Brown,1997-12-25,Crime; Drama; Thriller; ,7.5,R,2h 34min
Burn After Reading,2008-09-12,Comedy; Crime; Drama; ,7.0,R,1h 36min
Once Upon a Time in America,1984-06-01,Crime; Drama; ,8.4,R,3h 49min
Lucky Number Slevin,2006-04-07,Crime; Drama; Mystery; ,7.7,R,1h 50min
Home Alone 2: Lost in New York,1992-11-20,Adventure; Comedy; Crime; ,6.8,PG,2h
Lord of War,2005-09-16,Action; Crime; Drama; ,7.6,R,2h 2min
Deja Vu,2006-11-22,Action; Crime; Sci-Fi; ,7.0,PG-13,2h 6min
To Kill a Mockingbird,1963-03-16,Crime; Drama; ,8.2,Approved,2h 9min
The Hangover Part III,2013-05-23,Comedy; Crime; ,5.8,R,1h 40min
RED,2010-10-15,Action; Comedy; Crime; ,7.0,PG-13,1h 51min
3:10 to Yuma,2007-09-07,Action; Crime; Drama; ,7.7,R,2h 2min
The Transporter,2002-10-11,Action; Crime; Thriller; ,6.8,PG-13,1h 32min
From Dusk Till Dawn,1996-01-19,Action; Crime; Horror; ,7.2,R,1h 48min
"O Brother, Where Art Thou?",2001-02-02,Adventure; Comedy; Crime; ,7.7,PG-13,1h 47min
The Untouchables,1987-06-03,Crime; Drama; Thriller; ,7.9,R,1h 59min
Con Air,1997-06-06,Action; Crime; Thriller; ,6.9,R,1h 55min
Batman Returns,1992-06-19,Action; Crime; Fantasy; ,7.0,PG-13,2h 6min
The Nice Guys,2016-05-20,Action; Comedy; Crime; ,7.4,R,1h 56min
Law Abiding Citizen,2009-10-16,Action; Crime; Drama; ,7.4,R,1h 49min
The Shawshank Redemption,1994-10-14,Drama; ,9.3,R,2h 22min
Fight Club,1999-10-15,Drama; ,8.8,R,2h 19min
Forrest Gump,1994-07-06,Drama; Romance; ,8.8,PG-13,2h 22min
Django Unchained,2012-12-25,Drama; Western; ,8.4,R,2h 45min
Saving Private Ryan,1998-07-24,Drama; War; ,8.6,R,2h 49min
The Prestige,2006-10-20,Drama; Mystery; Sci-Fi; ,8.5,PG-13,2h 10min
American Beauty,1999-10-01,Drama; ,8.3,R,2h 2min
Titanic,1997-12-19,Drama; Romance; ,7.8,PG-13,3h 14min
American History X,1998-11-20,Drama; ,8.5,R,1h 59min
